Country,Total populationa (000s) / Male,Total populationa (000s) / Female,Total populationa (000s) / Both sexes,Life expectancy at birthb (years) / Male,Life expectancy at birthb (years) / Female,Life expectancy at birthb (years) / Both sexes,Healthy life expectancy at birthb (years) / Male,Healthy life expectancy at birthb (years) / Female,Healthy life expectancy at birthb (years) / Both sexes,Maternal mortality ratioc (per 100 000 live births),Proportion of births attended by skilled health personneld (%),Under-five mortality ratee (per 1000 live births),Neonatal mortality ratee (per 1000 live births),New HIV infectionsf (per 1000 uninfected population),Tuberculosis incidenceg (per 100 000 population),Malaria incidenceh (per 1000 population at risk),Hepatitis B surface antigen (HBsAg) prevalence among children under 5 yearsi (%),Reported number of people requiring interventions against NTDsj,"Probability of dying from any of CVD, cancer, diabetes, CRD between age 30 and exact age 70k (%)",Suicide mortality ratek (per 100 000 population),Total alcohol per capita (≥ 15 years of age) consumptionl (litres of pure alcohol),Road traffic mortality ratek (per 100 000 population),Proportion of women of reproductive age who have their need for family planning satisfied with modern methodsm (%),Adolescent birth raten (per 1000 women aged 15–19 years),Adolescent birth raten (per 1000 women aged 10-14 years),UHC: Service coverage indexo,Population with household expenditures on health > 10% of total household expenditure or incomep (%),Population with household expenditures on health > 25% of total household expenditure or incomep (%),Age-standardized mortality rate attributed to household and ambient air pollutionq  (per 100 000 population) ,Mortality rate attributed to exposure to unsafe WASH servicesr (per 100 000 population),Mortality rate from unintentional poisoningk (per 100 000 population),Age-standardized prevalence of tobacco use among persons 15 years and olders  (%) ,Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-oldst (%),Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended aget (%) ,Pneumococcal conjugate 3rd dose (PCV3) immunization coverage  among 1-year oldst (%),Human papillomavirus (HPV) immunization coverage estimates among 15 year-old girlst (%),"Total net official development assistance to medical research and basic health sectors per capitau (US$), by recipient country

",Proportion of health facilities with a core set of relevant essential medicines available and affordable on a sustainable basisv (%),Density of medical doctorsw (per 10 000 population) ,Density of nursing and midwifery personnelw (per 10 000 population) ,Density of dentistsw (per 10 000 population) ,Density of pharmacistsw (per 10 000 population) ,Average of 13 International Health Regulations core capacity scoresx,Proportion of bloodstream infections due methicillin-resistant Staphylococcus aureusy (%),Proportion of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporiny (%),Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE)z (%),Prevalence of stunting in children under 5aa (%),Prevalence of wasting in children under 5aa (%),Prevalence of overweight in children under 5aa (%),Prevalence of anaemia in women of reproductive age (15–49 years)ab  (%),Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 monthsac (%) ,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetimeac (%) ,Proportion of population using safely-managed drinking-water servicesad (%),Proportion of population using safely-managed sanitation servicesad (%),Proportion of population using a hand-washing facility with soap and waterad (%),Proportion of safely treated domestic wastewater flowsae (%),Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending planaf (constant 2020 US$ millions),Proportion of population with primary reliance on clean fuels and technologyag (%),Annual mean concentrations of fine particulate matter (PM2.5) in urban areasag (µg/m3),Mortality rate due to homicidek (per 100 000 population),Number of cases of poliomyelitis caused by wild poliovirus (WPV)ah,Age-standardized prevalence of hypertension among adults aged 30-79 yearsai (%),Prevalence of obesity among children and adolescents (5–19 years)aj (%),Age-standardized prevalence of obesity among adults (18+ years)aj (%)
Monaco,-,-,39,-,-,-,-,-,-,-,-,3,2,-,0,-,0.15,0,-,-,-,-,-,-,-,85,-,-,-,-,-,-,-,-,-,-,-,-,75.1,201.6,10.2,26.3,-,-,-,5.7,-,-,-,12.3,-,-,100,100,-,97,-,100,11.5,-,-,-,-,-
Mongolia,1615,1663,3278,63.8,72.8,68.1,57.1,63.8,60.3,45,99,15,8,0.01,437,-,0.47,0,35,17.9,5.9,21,63.6,26.9,0.1,63,7.2,1.3,155.9,1.3,2.8,29.4,96,96,92,-,7.93,26.7,38.5,42.1,4.1,6.8,75,-,-,6.8,7.1,0.9,10.1,14.5,12,27,30,56,86,10,32.81,52,60,6.1,0,42.8,4.3,20.6
Montenegro,311,317,628,73.2,78.7,75.9,65.2,68.7,67,6,99,2,1,0.04,16,-,0.67,0,22.3,21,12.2,7.6,32.9,9.6,0.1,67,10.3,0.8,78.6,-,0.6,31.4,84,76,-,-,1.64,-,27.4,53.7,0.5,2.3,53,-,-,11.3,8.1,2.2,10.2,17.2,4,16,85,45,99,45,14.67,62,19.4,2.8,0,45.1,7.6,23.3
Morocco,18317,18594,36911,71.7,74.3,73,63.7,63.7,63.7,70,87,19,12,0.02,98,-,0.16,3868,24.1,7.2,0.5,17,72,22.5,0,73,20.5,6.4,49.1,1.9,0.7,14.5,-,-,-,-,3.76,-,7.3,13.9,1.4,2.6,73,-,-,7.1,12.9,2.6,11.3,29.9,10,-,80,39,-,36,282.48,98,28.6,1.7,0,35.3,10.2,26.1
Mozambique,15188,16067,31255,54.5,61.7,58.1,47.9,52.8,50.4,289,73,71,28,3.5,368,320.2,0.59,22969482,30.6,13.6,2.7,30,55.5,180,5.5,47,1.6,0.4,110,27.6,3.7,14.3,79,62,65,-,8.09,-,0.8,4.8,-,0.1,41,25,32,5.6,37.8,4.4,6,47.9,16,30,-,-,-,-,132.43,5,19.9,3.7,0,38.6,2.3,7.2
Myanmar,26220,28190,54410,65.9,72.2,69.1,58.8,62.8,60.9,250,60,44,22,-,308,2.5,1.11,23748613,24.9,2.9,2.1,20.4,74.9,21.3,0.1,61,12.7,3.5,156.4,12.6,1.3,44.1,84,90,86,-,4.46,-,7.4,10.8,0.7,0.8,57,51,81,3.6,25.2,6.7,1.5,42.1,11,19,59,61,75,-,97.19,31,33.7,3.9,0,37.8,3.7,5.8
Namibia,1232,1309,2541,60.6,68.4,64.6,53.4,58.6,56.1,195,88,40,20,2.44,460,10,0.36,1094020,22.6,9.7,3.1,34.8,80.4,63.9,4,62,1.5,0.3,145,18.3,1.9,15.1,-,-,-,-,1.72,-,5.9,19.5,0.7,2.4,58,-,-,10.7,18.4,7.1,5,25.2,16,27,-,-,-,-,1.4,47,20.5,18,0,43.8,4.9,17.2
Nauru,-,-,11,-,-,-,-,-,-,-,-,28,18,-,180,-,0.52,10774,-,-,4.2,-,-,94,-,54,-,-,-,-,-,48.5,95,97,-,-,21.69,-,13.5,78.5,3.7,1.9,-,-,-,6.8,15,-,3.7,29.6,20,43,-,-,-,-,-,100,8.2,-,-,41.8,33.2,61
Nepal,13348,15788,29137,68.9,72.7,70.9,60.6,62.1,61.3,186,77,28,17,0.03,235,-,0.16,13519533,21.5,9,0.6,16.3,61.9,63,0.4,53,10.7,2.1,193.8,19.8,1.7,30.4,84,74,80,-,4.03,-,8.5,33.4,1.3,1.7,44,79,73,4,30.4,12,1.8,35.7,11,27,18,49,62,37,152.51,35,88,2.5,0,36.1,1.7,4.1
Netherlands,8537,8598,17135,80.4,83.1,81.8,71.3,71.5,71.4,5,-,4,3,0.02,4,-,0.08,4,10.3,11.8,9.7,4,-,2.5,0,86,-,-,13.7,0.2,0.1,22.2,94,89,93,63,-,-,40.8,116.4,5.6,2.2,84,2,7,16,1.6,-,5,12.8,5,21,100,97,-,100,-,100,12,0.6,0,30.5,7,20.4
