Country,Total populationa (000s) / Male,Total populationa (000s) / Female,Total populationa (000s) / Both sexes,Life expectancy at birthb (years) / Male,Life expectancy at birthb (years) / Female,Life expectancy at birthb (years) / Both sexes,Healthy life expectancy at birthb (years) / Male,Healthy life expectancy at birthb (years) / Female,Healthy life expectancy at birthb (years) / Both sexes,Maternal mortality ratioc (per 100 000 live births),Proportion of births attended by skilled health personneld (%),Under-five mortality ratee (per 1000 live births),Neonatal mortality ratee (per 1000 live births),New HIV infectionsf (per 1000 uninfected population),Tuberculosis incidenceg (per 100 000 population),Malaria incidenceh (per 1000 population at risk),Hepatitis B surface antigen (HBsAg) prevalence among children under 5 yearsi (%),Reported number of people requiring interventions against NTDsj,"Probability of dying from any of CVD, cancer, diabetes, CRD between age 30 and exact age 70k (%)",Suicide mortality ratek (per 100 000 population),Total alcohol per capita (≥ 15 years of age) consumptionl (litres of pure alcohol),Road traffic mortality ratek (per 100 000 population),Proportion of women of reproductive age who have their need for family planning satisfied with modern methodsm (%),Adolescent birth raten (per 1000 women aged 15–19 years),Adolescent birth raten (per 1000 women aged 10-14 years),UHC: Service coverage indexo,Population with household expenditures on health > 10% of total household expenditure or incomep (%),Population with household expenditures on health > 25% of total household expenditure or incomep (%),Age-standardized mortality rate attributed to household and ambient air pollutionq  (per 100 000 population) ,Mortality rate attributed to exposure to unsafe WASH servicesr (per 100 000 population),Mortality rate from unintentional poisoningk (per 100 000 population),Age-standardized prevalence of tobacco use among persons 15 years and olders  (%) ,Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-oldst (%),Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended aget (%) ,Pneumococcal conjugate 3rd dose (PCV3) immunization coverage  among 1-year oldst (%),Human papillomavirus (HPV) immunization coverage estimates among 15 year-old girlst (%),"Total net official development assistance to medical research and basic health sectors per capitau (US$), by recipient country

",Proportion of health facilities with a core set of relevant essential medicines available and affordable on a sustainable basisv (%),Density of medical doctorsw (per 10 000 population) ,Density of nursing and midwifery personnelw (per 10 000 population) ,Density of dentistsw (per 10 000 population) ,Density of pharmacistsw (per 10 000 population) ,Average of 13 International Health Regulations core capacity scoresx,Proportion of bloodstream infections due methicillin-resistant Staphylococcus aureusy (%),Proportion of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporiny (%),Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE)z (%),Prevalence of stunting in children under 5aa (%),Prevalence of wasting in children under 5aa (%),Prevalence of overweight in children under 5aa (%),Prevalence of anaemia in women of reproductive age (15–49 years)ab  (%),Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 monthsac (%) ,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetimeac (%) ,Proportion of population using safely-managed drinking-water servicesad (%),Proportion of population using safely-managed sanitation servicesad (%),Proportion of population using a hand-washing facility with soap and waterad (%),Proportion of safely treated domestic wastewater flowsae (%),Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending planaf (constant 2020 US$ millions),Proportion of population with primary reliance on clean fuels and technologyag (%),Annual mean concentrations of fine particulate matter (PM2.5) in urban areasag (µg/m3),Mortality rate due to homicidek (per 100 000 population),Number of cases of poliomyelitis caused by wild poliovirus (WPV)ah,Age-standardized prevalence of hypertension among adults aged 30-79 yearsai (%),Prevalence of obesity among children and adolescents (5–19 years)aj (%),Age-standardized prevalence of obesity among adults (18+ years)aj (%)
United Republic of Tanzania,29851,29883,59734,65.4,69.3,67.3,57.6,59.3,58.5,524,64,49,20,1.26,222,120.2,0.99,29038890,17.4,4.3,12,31.1,55.1,138.9,1.5,46,4.3,0.8,139,38.4,2,8.7,86,67,80,58,5.56,0,0.5,5.7,0.1,0.3,54,50,75,9.6,32,3.5,5.5,38.9,24,38,-,26,48,-,136.63,4,24.6,8.1,0,33.2,2.5,8.4
United States of America,163786,167217,331003,76.3,80.7,78.5,65.2,67,66.1,19,99,6,3,-,2,-,0.01,466,13.6,16.1,10,12.7,78.4,16.7,0.3,83,4.3,0.8,13.3,0.2,0.5,23,93,95,82,49,-,-,26.1,156.8,6.1,-,91,-,-,22.4,3.2,0.1,8.8,11.8,6,26,97,98,-,91,-,100,7.7,5.8,0,31.6,21.4,36.2
Uruguay,1678,1795,3474,73.5,80.6,77.1,65.4,69.5,67.5,17,100,6,4,0.19,32,-,0.15,10,16.5,21.2,6.9,14.8,-,32.6,0.7,79,2.3,0.2,17.5,0.4,0.5,21.5,92,91,94,25,-,-,49.4,72.2,14.5,-,66,-,-,20.1,6.5,1.4,10.3,15,4,18,-,-,-,-,-,100,10,8.5,0,42.4,13.8,27.9
Uzbekistan,16697,16772,33469,70.8,75.2,73,63.5,65.8,64.7,29,100,14,8,0.08,66,-,0.16,405951,25.3,8,2.6,11.7,-,18.9,0,71,-,-,81.1,0.4,0.8,17.6,95,99,93,100,3.03,-,23.7,112.8,1.5,0.4,65,-,-,8.3,9.9,1.8,5,24.8,-,-,59,-,-,32,126.58,84,33.9,1.5,0,45.7,4,16.6
Vanuatu,156,151,307,62.7,68.3,65.3,56.4,59.4,57.8,72,89,25,11,-,38,3,2.25,299059,39.7,18,2.1,14.9,50.7,81,-,52,-,-,135.6,10.4,0.7,17.8,78,-,-,-,33.94,-,1.7,14.2,0.3,1.2,74,-,-,5,28.7,4.7,4.9,28.5,29,47,-,-,-,-,6.45,8,11.1,2.3,0,39.5,8.3,25.2
Venezuela (Bolivarian Republic of),13985,14451,28436,69.9,78.2,73.9,61.9,67.1,64.4,125,99,24,15,0.08,47,16.3,0.15,8062740,14.8,2,3.6,39,-,83.8,3.2,70,-,-,34.6,1.4,0.2,-,54,28,0,-,0.68,-,17.3,20.7,1.4,-,75,-,-,11.6,10.6,-,6.7,24.2,8,19,-,23,-,-,1.02,97,20.1,63.6,0,39.4,14.1,25.6
Viet Nam,48598,48740,97339,69.6,78.1,73.7,62.4,68.3,65.3,43,96,21,10,0.06,176,-,0.64,7844098,21.2,7.5,7.9,30.6,69.6,29,0,70,8.5,1.7,64.5,1.6,0.9,24.8,94,93,-,-,1.26,-,8.3,14.5,-,3.4,64,-,-,10.1,22.3,5.8,6,20.6,10,25,-,-,86,-,428.07,65,23.8,1.9,0,29.7,2.6,2.1
Yemen,15025,14801,29826,64.4,68.9,66.6,56.9,58.2,57.5,164,45,60,28,0.04,49,40.6,1.76,11632682,27.6,5.8,-,29.4,40.5,67.2,1,44,15.8,4.2,194.2,10.2,1.8,20.3,72,46,72,-,5.55,-,5.3,7.9,0.2,1.1,55,71,100,-,37.2,16.4,2.7,61.5,-,-,-,19,-,34,51.97,62,40.3,9.7,0,29.3,7,17.1
Zambia,9103,9281,18384,59.5,65.4,62.5,52.5,56.3,54.4,213,80,61,24,3.64,319,186.9,1.32,12810245,24.6,7.3,4.5,20.5,65.9,135,2.9,55,-,-,127.2,34.9,2.6,14.4,84,66,85,69,8.43,16.7,1.2,10.2,0.3,1,56,100,100,7,32.3,4.2,5.7,31.5,28,41,-,-,18,-,68.86,10,29.4,6.5,0,32.3,2.9,8.1
Zimbabwe,7092,7771,14863,57.5,63.6,60.7,51.2,54.8,53.1,458,86,54,26,1.74,193,98.5,2.74,8029929,28.4,14.1,4.5,41.2,84.8,107.9,1.1,55,11.8,7,133,24.6,3.5,11.7,86,74,86,-,10.96,-,2,21.4,0.2,1.1,59,-,-,8.7,23,2.9,3.6,28.9,18,35,30,26,42,23,18.05,30,24.6,13.1,0,42.3,4,15.5
